roll,armor,dmg,critType,miss,crit,clumsy,armor,dmg,critType,miss,crit,clumsy,armor,dmg,critType,miss,crit,clumsy,armor,dmg,critType,miss,crit,clumsy
0-10,NA,-,-,TRUE,FALSE,TRUE,LA,-,-,TRUE,FALSE,TRUE,MA,-,-,TRUE,FALSE,TRUE,HA,-,-,TRUE,FALSE,TRUE
11-35,NA,-,-,TRUE,FALSE,FALSE,LA,-,-,TRUE,FALSE,FALSE,MA,-,-,TRUE,FALSE,FALSE,HA,-,-,TRUE,FALSE,FALSE
36-40,NA,-,-,TRUE,FALSE,FALSE,LA,-,-,TRUE,FALSE,FALSE,MA,-,-,TRUE,FALSE,FALSE,HA,0,-,TRUE,FALSE,FALSE
41-45,NA,-,-,TRUE,FALSE,FALSE,LA,-,-,TRUE,FALSE,FALSE,MA,0,-,FALSE,FALSE,FALSE,HA,0,-,FALSE,FALSE,FALSE
46-50,NA,-,-,TRUE,FALSE,FALSE,LA,0,-,FALSE,FALSE,FALSE,MA,0,-,FALSE,FALSE,FALSE,HA,1,-,FALSE,FALSE,FALSE
51-55,NA,0,-,FALSE,FALSE,FALSE,LA,0,-,FALSE,FALSE,FALSE,MA,0,-,FALSE,FALSE,FALSE,HA,1,-,FALSE,FALSE,FALSE
56-60,NA,0,-,FALSE,FALSE,FALSE,LA,0,-,FALSE,FALSE,FALSE,MA,1,-,FALSE,FALSE,FALSE,HA,2,-,FALSE,FALSE,FALSE
61-65,NA,0,-,FALSE,FALSE,FALSE,LA,0,-,FALSE,FALSE,FALSE,MA,2,-,FALSE,FALSE,FALSE,HA,2,-,FALSE,FALSE,FALSE
66-70,NA,0,-,FALSE,FALSE,FALSE,LA,2,-,FALSE,FALSE,FALSE,MA,3,-,FALSE,FALSE,FALSE,HA,3,-,FALSE,FALSE,FALSE
71-75,NA,0,-,FALSE,FALSE,FALSE,LA,3,-,FALSE,FALSE,FALSE,MA,4,-,FALSE,FALSE,FALSE,HA,3,-,FALSE,FALSE,FALSE
76-80,NA,7,Sup,FALSE,TRUE,FALSE,LA,5,-,FALSE,FALSE,FALSE,MA,5,-,FALSE,FALSE,FALSE,HA,4,-,FALSE,FALSE,FALSE
81-85,NA,9,Sup,FALSE,TRUE,FALSE,LA,6,-,FALSE,FALSE,FALSE,MA,6,-,FALSE,FALSE,FALSE,HA,5,-,FALSE,FALSE,FALSE
86-90,NA,10,Lig,FALSE,TRUE,FALSE,LA,7,-,FALSE,FALSE,FALSE,MA,7,-,FALSE,FALSE,FALSE,HA,5,-,FALSE,FALSE,FALSE
91-95,NA,11,Lig,FALSE,TRUE,FALSE,LA,9,Sup,FALSE,TRUE,FALSE,MA,8,-,FALSE,FALSE,FALSE,HA,6,-,FALSE,FALSE,FALSE
96-100,NA,13,Mod,FALSE,TRUE,FALSE,LA,10,Sup,FALSE,TRUE,FALSE,MA,9,-,FALSE,FALSE,FALSE,HA,6,-,FALSE,FALSE,FALSE
101-105,NA,15,Mod,FALSE,TRUE,FALSE,LA,11,Sup,FALSE,TRUE,FALSE,MA,10,Sup,FALSE,TRUE,FALSE,HA,7,-,FALSE,FALSE,FALSE
106-110,NA,17,Gri,FALSE,TRUE,FALSE,LA,12,Lig,FALSE,TRUE,FALSE,MA,11,Sup,FALSE,TRUE,FALSE,HA,8,-,FALSE,FALSE,FALSE
111-115,NA,19,Gri,FALSE,TRUE,FALSE,LA,13,Lig,FALSE,TRUE,FALSE,MA,12,Lig,FALSE,TRUE,FALSE,HA,8,Sup,FALSE,TRUE,FALSE
116-120,NA,20,Gri,FALSE,TRUE,FALSE,LA,15,Mod,FALSE,TRUE,FALSE,MA,13,Lig,FALSE,TRUE,FALSE,HA,9,Sup,FALSE,TRUE,FALSE
121-125,NA,21,Let,FALSE,TRUE,FALSE,LA,16,Mod,FALSE,TRUE,FALSE,MA,13,Mod,FALSE,TRUE,FALSE,HA,10,Sup,FALSE,TRUE,FALSE
126-130,NA,23,Let,FALSE,TRUE,FALSE,LA,17,Gri,FALSE,TRUE,FALSE,MA,14,Mod,FALSE,TRUE,FALSE,HA,10,Lig,FALSE,TRUE,FALSE
